index,label,phoneme1,phoneme2,phoneme3,phoneme4,phoneme5,phoneme6,phoneme7
77,WAA,W,AA,,,,,
78,WHAA,WH,AA,,,,,
79,YAA,Y,AA,,,,,
80,ZAA,Z,AA,,,,,
81,ZHAA,ZH,AA,,,,,
82,BAE,B,AE,,,,,
83,CHAE,CH,AE,,,,,
84,DAE,D,AE,,,,,
85,DHAE,DH,AE,,,,,
86,DXAE,DX,AE,,,,,
87,ELAE,EL,AE,,,,,
88,EMAE,EM,AE,,,,,
89,ENAE,EN,AE,,,,,
90,FAE,F,AE,,,,,
91,GAE,G,AE,,,,,
92,HHAE,HH,AE,,,,,
93,JHAE,JH,AE,,,,,
94,KAE,K,AE,,,,,
95,LAE,L,AE,,,,,
96,MAE,M,AE,,,,,
97,NAE,N,AE,,,,,
98,NGAE,NG,AE,,,,,
99,NXAE,NX,AE,,,,,
100,PAE,P,AE,,,,,
101,QAE,Q,AE,,,,,
102,RAE,R,AE,,,,,
103,SAE,S,AE,,,,,
104,SHAE,SH,AE,,,,,
105,TAE,T,AE,,,,,
106,THAE,TH,AE,,,,,
107,VAE,V,AE,,,,,
108,WAE,W,AE,,,,,
109,WHAE,WH,AE,,,,,
110,YAE,Y,AE,,,,,
111,ZAE,Z,AE,,,,,
112,ZHAE,ZH,AE,,,,,
113,BAH,B,AH,,,,,
114,CHAH,CH,AH,,,,,
115,DAH,D,AH,,,,,
116,DHAH,DH,AH,,,,,
117,DXAH,DX,AH,,,,,
118,ELAH,EL,AH,,,,,
119,EMAH,EM,AH,,,,,
120,ENAH,EN,AH,,,,,
121,FAH,F,AH,,,,,
122,GAH,G,AH,,,,,
123,HHAH,HH,AH,,,,,
124,JHAH,JH,AH,,,,,
125,KAH,K,AH,,,,,
126,LAH,L,AH,,,,,
127,MAH,M,AH,,,,,
128,NAH,N,AH,,,,,
129,NGAH,NG,AH,,,,,
130,NXAH,NX,AH,,,,,
131,PAH,P,AH,,,,,
132,QAH,Q,AH,,,,,
133,RAH,R,AH,,,,,
134,SAH,S,AH,,,,,
135,SHAH,SH,AH,,,,,
136,TAH,T,AH,,,,,
137,THAH,TH,AH,,,,,
138,VAH,V,AH,,,,,
139,WAH,W,AH,,,,,
140,WHAH,WH,AH,,,,,
141,YAH,Y,AH,,,,,
142,ZAH,Z,AH,,,,,
143,ZHAH,ZH,AH,,,,,
144,BAO,B,AO,,,,,
145,CHAO,CH,AO,,,,,
146,DAO,D,AO,,,,,
147,DHAO,DH,AO,,,,,
148,DXAO,DX,AO,,,,,
149,ELAO,EL,AO,,,,,
150,EMAO,EM,AO,,,,,
151,ENAO,EN,AO,,,,,
152,FAO,F,AO,,,,,
153,GAO,G,AO,,,,,
154,HHAO,HH,AO,,,,,
155,JHAO,JH,AO,,,,,
156,KAO,K,AO,,,,,
157,LAO,L,AO,,,,,
158,MAO,M,AO,,,,,
159,NAO,N,AO,,,,,
160,NGAO,NG,AO,,,,,
161,NXAO,NX,AO,,,,,
162,PAO,P,AO,,,,,
163,QAO,Q,AO,,,,,
164,RAO,R,AO,,,,,
165,SAO,S,AO,,,,,
166,SHAO,SH,AO,,,,,
167,TAO,T,AO,,,,,
168,THAO,TH,AO,,,,,
169,VAO,V,AO,,,,,
170,WAO,W,AO,,,,,
171,WHAO,WH,AO,,,,,
172,YAO,Y,AO,,,,,
173,ZAO,Z,AO,,,,,
174,ZHAO,ZH,AO,,,,,
175,BAW,B,AW,,,,,
176,CHAW,CH,AW,,,,,
177,DAW,D,AW,,,,,
178,DHAW,DH,AW,,,,,
179,DXAW,DX,AW,,,,,
180,ELAW,EL,AW,,,,,
181,EMAW,EM,AW,,,,,
182,ENAW,EN,AW,,,,,
183,FAW,F,AW,,,,,
184,GAW,G,AW,,,,,
185,HHAW,HH,AW,,,,,
186,JHAW,JH,AW,,,,,
187,KAW,K,AW,,,,,
188,LAW,L,AW,,,,,
189,MAW,M,AW,,,,,
190,NAW,N,AW,,,,,
191,NGAW,NG,AW,,,,,
192,NXAW,NX,AW,,,,,
193,PAW,P,AW,,,,,
194,QAW,Q,AW,,,,,
195,RAW,R,AW,,,,,
196,SAW,S,AW,,,,,
197,SHAW,SH,AW,,,,,
198,TAW,T,AW,,,,,
199,THAW,TH,AW,,,,,
200,VAW,V,AW,,,,,
201,WAW,W,AW,,,,,
202,WHAW,WH,AW,,,,,
203,YAW,Y,AW,,,,,
204,ZAW,Z,AW,,,,,
205,ZHAW,ZH,AW,,,,,
206,BAX,B,AX,,,,,
207,CHAX,CH,AX,,,,,
208,DAX,D,AX,,,,,
209,DHAX,DH,AX,,,,,
210,DXAX,DX,AX,,,,,
211,ELAX,EL,AX,,,,,
212,EMAX,EM,AX,,,,,
213,ENAX,EN,AX,,,,,
214,FAX,F,AX,,,,,
215,GAX,G,AX,,,,,
216,HHAX,HH,AX,,,,,
217,JHAX,JH,AX,,,,,
218,KAX,K,AX,,,,,
219,LAX,L,AX,,,,,
220,MAX,M,AX,,,,,
221,NAX,N,AX,,,,,
222,NGAX,NG,AX,,,,,
223,NXAX,NX,AX,,,,,
224,PAX,P,AX,,,,,
225,QAX,Q,AX,,,,,
226,RAX,R,AX,,,,,
227,SAX,S,AX,,,,,
228,SHAX,SH,AX,,,,,
229,TAX,T,AX,,,,,
230,THAX,TH,AX,,,,,
231,VAX,V,AX,,,,,
232,WAX,W,AX,,,,,
233,WHAX,WH,AX,,,,,
234,YAX,Y,AX,,,,,
235,ZAX,Z,AX,,,,,
236,ZHAX,ZH,AX,,,,,
237,BAXR,B,AXR,,,,,
238,CHAXR,CH,AXR,,,,,
239,DAXR,D,AXR,,,,,
240,DHAXR,DH,AXR,,,,,
241,DXAXR,DX,AXR,,,,,
242,ELAXR,EL,AXR,,,,,
243,EMAXR,EM,AXR,,,,,
244,ENAXR,EN,AXR,,,,,
245,FAXR,F,AXR,,,,,
246,GAXR,G,AXR,,,,,
247,HHAXR,HH,AXR,,,,,
248,JHAXR,JH,AXR,,,,,
249,KAXR,K,AXR,,,,,
250,LAXR,L,AXR,,,,,
251,MAXR,M,AXR,,,,,
252,NAXR,N,AXR,,,,,
253,NGAXR,NG,AXR,,,,,
254,NXAXR,NX,AXR,,,,,
255,PAXR,P,AXR,,,,,
256,QAXR,Q,AXR,,,,,
257,RAXR,R,AXR,,,,,
258,SAXR,S,AXR,,,,,
259,SHAXR,SH,AXR,,,,,
260,TAXR,T,AXR,,,,,
261,THAXR,TH,AXR,,,,,
262,VAXR,V,AXR,,,,,
263,WAXR,W,AXR,,,,,
264,WHAXR,WH,AXR,,,,,
265,YAXR,Y,AXR,,,,,
266,ZAXR,Z,AXR,,,,,
267,ZHAXR,ZH,AXR,,,,,
268,BAY,B,AY,,,,,
269,CHAY,CH,AY,,,,,
270,DAY,D,AY,,,,,
271,DHAY,DH,AY,,,,,
272,DXAY,DX,AY,,,,,
273,ELAY,EL,AY,,,,,
274,EMAY,EM,AY,,,,,
275,ENAY,EN,AY,,,,,
276,FAY,F,AY,,,,,
277,GAY,G,AY,,,,,
278,HHAY,HH,AY,,,,,
279,JHAY,JH,AY,,,,,
280,KAY,K,AY,,,,,
281,LAY,L,AY,,,,,
282,MAY,M,AY,,,,,
283,NAY,N,AY,,,,,
284,NGAY,NG,AY,,,,,
285,NXAY,NX,AY,,,,,
286,PAY,P,AY,,,,,
287,QAY,Q,AY,,,,,
288,RAY,R,AY,,,,,
289,SAY,S,AY,,,,,
290,SHAY,SH,AY,,,,,
291,TAY,T,AY,,,,,
292,THAY,TH,AY,,,,,
293,VAY,V,AY,,,,,
294,WAY,W,AY,,,,,
295,WHAY,WH,AY,,,,,
296,YAY,Y,AY,,,,,
297,ZAY,Z,AY,,,,,
298,ZHAY,ZH,AY,,,,,
299,BEH,B,EH,,,,,
300,CHEH,CH,EH,,,,,
301,DEH,D,EH,,,,,
302,DHEH,DH,EH,,,,,
303,DXEH,DX,EH,,,,,
304,ELEH,EL,EH,,,,,
305,EMEH,EM,EH,,,,,
306,ENEH,EN,EH,,,,,
307,FEH,F,EH,,,,,
308,GEH,G,EH,,,,,
309,HHEH,HH,EH,,,,,
310,JHEH,JH,EH,,,,,
311,KEH,K,EH,,,,,
312,LEH,L,EH,,,,,
313,MEH,M,EH,,,,,
314,NEH,N,EH,,,,,
315,NGEH,NG,EH,,,,,
316,NXEH,NX,EH,,,,,
317,PEH,P,EH,,,,,
318,QEH,Q,EH,,,,,
319,REH,R,EH,,,,,
320,SEH,S,EH,,,,,
321,SHEH,SH,EH,,,,,
322,TEH,T,EH,,,,,
323,THEH,TH,EH,,,,,
324,VEH,V,EH,,,,,
325,WEH,W,EH,,,,,
326,WHEH,WH,EH,,,,,
327,YEH,Y,EH,,,,,
328,ZEH,Z,EH,,,,,
329,ZHEH,ZH,EH,,,,,
330,BER,B,ER,,,,,
331,CHER,CH,ER,,,,,
332,DER,D,ER,,,,,
333,DHER,DH,ER,,,,,
334,DXER,DX,ER,,,,,
335,ELER,EL,ER,,,,,
336,EMER,EM,ER,,,,,
337,ENER,EN,ER,,,,,
338,FER,F,ER,,,,,
339,GER,G,ER,,,,,
340,HHER,HH,ER,,,,,
341,JHER,JH,ER,,,,,
342,KER,K,ER,,,,,
343,LER,L,ER,,,,,
344,MER,M,ER,,,,,
345,NER,N,ER,,,,,
346,NGER,NG,ER,,,,,
347,NXER,NX,ER,,,,,
348,PER,P,ER,,,,,
349,QER,Q,ER,,,,,
350,RER,R,ER,,,,,
351,SER,S,ER,,,,,
352,SHER,SH,ER,,,,,
353,TER,T,ER,,,,,
354,THER,TH,ER,,,,,
355,VER,V,ER,,,,,
356,WER,W,ER,,,,,
357,WHER,WH,ER,,,,,
358,YER,Y,ER,,,,,
359,ZER,Z,ER,,,,,
360,ZHER,ZH,ER,,,,,
361,BEY,B,EY,,,,,
362,CHEY,CH,EY,,,,,
363,DEY,D,EY,,,,,
364,DHEY,DH,EY,,,,,
365,DXEY,DX,EY,,,,,
366,ELEY,EL,EY,,,,,
367,EMEY,EM,EY,,,,,
368,ENEY,EN,EY,,,,,
369,FEY,F,EY,,,,,
370,GEY,G,EY,,,,,
371,HHEY,HH,EY,,,,,
372,JHEY,JH,EY,,,,,
373,KEY,K,EY,,,,,
374,LEY,L,EY,,,,,
375,MEY,M,EY,,,,,
376,NEY,N,EY,,,,,
377,NGEY,NG,EY,,,,,
378,NXEY,NX,EY,,,,,
379,PEY,P,EY,,,,,
380,QEY,Q,EY,,,,,
381,REY,R,EY,,,,,
382,SEY,S,EY,,,,,
383,SHEY,SH,EY,,,,,
384,TEY,T,EY,,,,,
385,THEY,TH,EY,,,,,
386,VEY,V,EY,,,,,
387,WEY,W,EY,,,,,
388,WHEY,WH,EY,,,,,
389,YEY,Y,EY,,,,,
390,ZEY,Z,EY,,,,,
391,ZHEY,ZH,EY,,,,,
392,BIH,B,IH,,,,,
393,CHIH,CH,IH,,,,,
394,DIH,D,IH,,,,,
395,DHIH,DH,IH,,,,,
396,DXIH,DX,IH,,,,,
397,ELIH,EL,IH,,,,,
398,EMIH,EM,IH,,,,,
399,ENIH,EN,IH,,,,,
400,FIH,F,IH,,,,,
401,GIH,G,IH,,,,,
402,HHIH,HH,IH,,,,,
403,JHIH,JH,IH,,,,,
404,KIH,K,IH,,,,,
405,LIH,L,IH,,,,,
406,MIH,M,IH,,,,,
407,NIH,N,IH,,,,,
408,NGIH,NG,IH,,,,,
409,NXIH,NX,IH,,,,,
410,PIH,P,IH,,,,,
411,QIH,Q,IH,,,,,
412,RIH,R,IH,,,,,
413,SIH,S,IH,,,,,
414,SHIH,SH,IH,,,,,
415,TIH,T,IH,,,,,
416,THIH,TH,IH,,,,,
417,VIH,V,IH,,,,,
418,WIH,W,IH,,,,,
419,WHIH,WH,IH,,,,,
420,YIH,Y,IH,,,,,
421,ZIH,Z,IH,,,,,
422,ZHIH,ZH,IH,,,,,
423,BIX,B,IX,,,,,
424,CHIX,CH,IX,,,,,
425,DIX,D,IX,,,,,
426,DHIX,DH,IX,,,,,
427,DXIX,DX,IX,,,,,
428,ELIX,EL,IX,,,,,
429,EMIX,EM,IX,,,,,
430,ENIX,EN,IX,,,,,
431,FIX,F,IX,,,,,
432,GIX,G,IX,,,,,
433,HHIX,HH,IX,,,,,
434,JHIX,JH,IX,,,,,
435,KIX,K,IX,,,,,
436,LIX,L,IX,,,,,
437,MIX,M,IX,,,,,
438,NIX,N,IX,,,,,
439,NGIX,NG,IX,,,,,
440,NXIX,NX,IX,,,,,
441,PIX,P,IX,,,,,
442,QIX,Q,IX,,,,,
443,RIX,R,IX,,,,,
444,SIX,S,IX,,,,,
445,SHIX,SH,IX,,,,,
446,TIX,T,IX,,,,,
447,THIX,TH,IX,,,,,
448,VIX,V,IX,,,,,
449,WIX,W,IX,,,,,
450,WHIX,WH,IX,,,,,
451,YIX,Y,IX,,,,,
452,ZIX,Z,IX,,,,,
453,ZHIX,ZH,IX,,,,,
454,BIY,B,IY,,,,,
455,CHIY,CH,IY,,,,,
456,DIY,D,IY,,,,,
457,DHIY,DH,IY,,,,,
458,DXIY,DX,IY,,,,,
459,ELIY,EL,IY,,,,,
460,EMIY,EM,IY,,,,,
461,ENIY,EN,IY,,,,,
462,FIY,F,IY,,,,,
463,GIY,G,IY,,,,,
464,HHIY,HH,IY,,,,,
465,JHIY,JH,IY,,,,,
466,KIY,K,IY,,,,,
467,LIY,L,IY,,,,,
468,MIY,M,IY,,,,,
469,NIY,N,IY,,,,,
470,NGIY,NG,IY,,,,,
471,NXIY,NX,IY,,,,,
472,PIY,P,IY,,,,,
473,QIY,Q,IY,,,,,
474,RIY,R,IY,,,,,
475,SIY,S,IY,,,,,
476,SHIY,SH,IY,,,,,
477,TIY,T,IY,,,,,
478,THIY,TH,IY,,,,,
479,VIY,V,IY,,,,,
480,WIY,W,IY,,,,,
481,WHIY,WH,IY,,,,,
482,YIY,Y,IY,,,,,
483,ZIY,Z,IY,,,,,
484,ZHIY,ZH,IY,,,,,
485,BOW,B,OW,,,,,
486,CHOW,CH,OW,,,,,
487,DOW,D,OW,,,,,
488,DHOW,DH,OW,,,,,
489,DXOW,DX,OW,,,,,
490,ELOW,EL,OW,,,,,
491,EMOW,EM,OW,,,,,
492,ENOW,EN,OW,,,,,
493,FOW,F,OW,,,,,
494,GOW,G,OW,,,,,
495,HHOW,HH,OW,,,,,
496,JHOW,JH,OW,,,,,
497,KOW,K,OW,,,,,
498,LOW,L,OW,,,,,
499,MOW,M,OW,,,,,
500,NOW,N,OW,,,,,
501,NGOW,NG,OW,,,,,
502,NXOW,NX,OW,,,,,
503,POW,P,OW,,,,,
504,QOW,Q,OW,,,,,
505,ROW,R,OW,,,,,
506,SOW,S,OW,,,,,
507,SHOW,SH,OW,,,,,
508,TOW,T,OW,,,,,
509,THOW,TH,OW,,,,,
510,VOW,V,OW,,,,,
511,WOW,W,OW,,,,,
512,WHOW,WH,OW,,,,,
513,YOW,Y,OW,,,,,
514,ZOW,Z,OW,,,,,
515,ZHOW,ZH,OW,,,,,
516,BOY,B,OY,,,,,
517,CHOY,CH,OY,,,,,
518,DOY,D,OY,,,,,
519,DHOY,DH,OY,,,,,
520,DXOY,DX,OY,,,,,
521,ELOY,EL,OY,,,,,
522,EMOY,EM,OY,,,,,
523,ENOY,EN,OY,,,,,
524,FOY,F,OY,,,,,
525,GOY,G,OY,,,,,
526,HHOY,HH,OY,,,,,
527,JHOY,JH,OY,,,,,
528,KOY,K,OY,,,,,
529,LOY,L,OY,,,,,
530,MOY,M,OY,,,,,
531,NOY,N,OY,,,,,
532,NGOY,NG,OY,,,,,
533,NXOY,NX,OY,,,,,
534,POY,P,OY,,,,,
535,QOY,Q,OY,,,,,
536,ROY,R,OY,,,,,
537,SOY,S,OY,,,,,
538,SHOY,SH,OY,,,,,
539,TOY,T,OY,,,,,
540,THOY,TH,OY,,,,,
541,VOY,V,OY,,,,,
542,WOY,W,OY,,,,,
543,WHOY,WH,OY,,,,,
544,YOY,Y,OY,,,,,
545,ZOY,Z,OY,,,,,
546,ZHOY,ZH,OY,,,,,
547,BUH,B,UH,,,,,
548,CHUH,CH,UH,,,,,
549,DUH,D,UH,,,,,
550,DHUH,DH,UH,,,,,
551,DXUH,DX,UH,,,,,
552,ELUH,EL,UH,,,,,
553,EMUH,EM,UH,,,,,
554,ENUH,EN,UH,,,,,
555,FUH,F,UH,,,,,
556,GUH,G,UH,,,,,
557,HHUH,HH,UH,,,,,
558,JHUH,JH,UH,,,,,
559,KUH,K,UH,,,,,
560,LUH,L,UH,,,,,
561,MUH,M,UH,,,,,
562,NUH,N,UH,,,,,
563,NGUH,NG,UH,,,,,
564,NXUH,NX,UH,,,,,
565,PUH,P,UH,,,,,
566,QUH,Q,UH,,,,,
567,RUH,R,UH,,,,,
568,SUH,S,UH,,,,,
569,SHUH,SH,UH,,,,,
570,TUH,T,UH,,,,,
571,THUH,TH,UH,,,,,
572,VUH,V,UH,,,,,
573,WUH,W,UH,,,,,
574,WHUH,WH,UH,,,,,
575,YUH,Y,UH,,,,,
576,ZUH,Z,UH,,,,,
577,ZHUH,ZH,UH,,,,,
578,BUW,B,UW,,,,,
579,CHUW,CH,UW,,,,,
580,DUW,D,UW,,,,,
581,DHUW,DH,UW,,,,,
582,DXUW,DX,UW,,,,,
583,ELUW,EL,UW,,,,,
584,EMUW,EM,UW,,,,,
585,ENUW,EN,UW,,,,,
586,FUW,F,UW,,,,,
587,GUW,G,UW,,,,,
588,HHUW,HH,UW,,,,,
589,JHUW,JH,UW,,,,,
590,KUW,K,UW,,,,,
591,LUW,L,UW,,,,,
592,MUW,M,UW,,,,,
593,NUW,N,UW,,,,,
594,NGUW,NG,UW,,,,,
595,NXUW,NX,UW,,,,,
596,PUW,P,UW,,,,,
597,QUW,Q,UW,,,,,
598,RUW,R,UW,,,,,
599,SUW,S,UW,,,,,
600,SHUW,SH,UW,,,,,
601,TUW,T,UW,,,,,
602,THUW,TH,UW,,,,,
603,VUW,V,UW,,,,,
604,WUW,W,UW,,,,,
605,WHUW,WH,UW,,,,,
606,YUW,Y,UW,,,,,
607,ZUW,Z,UW,,,,,
608,ZHUW,ZH,UW,,,,,
609,BUX,B,UX,,,,,
610,CHUX,CH,UX,,,,,
611,DUX,D,UX,,,,,
612,DHUX,DH,UX,,,,,
613,DXUX,DX,UX,,,,,
614,ELUX,EL,UX,,,,,
615,EMUX,EM,UX,,,,,
616,ENUX,EN,UX,,,,,
617,FUX,F,UX,,,,,
618,GUX,G,UX,,,,,
619,HHUX,HH,UX,,,,,
620,JHUX,JH,UX,,,,,
621,KUX,K,UX,,,,,
622,LUX,L,UX,,,,,
623,MUX,M,UX,,,,,
624,NUX,N,UX,,,,,
625,NGUX,NG,UX,,,,,
626,NXUX,NX,UX,,,,,
627,PUX,P,UX,,,,,
628,QUX,Q,UX,,,,,
629,RUX,R,UX,,,,,
630,SUX,S,UX,,,,,
631,SHUX,SH,UX,,,,,
632,TUX,T,UX,,,,,
633,THUX,TH,UX,,,,,
634,VUX,V,UX,,,,,
635,WUX,W,UX,,,,,
636,WHUX,WH,UX,,,,,
637,YUX,Y,UX,,,,,
638,ZUX,Z,UX,,,,,
639,ZHUX,ZH,UX,,,,,
640,AAB,AA,B,,,,,
641,AACH,AA,CH,,,,,
642,AAD,AA,D,,,,,
643,AADH,AA,DH,,,,,
644,AADX,AA,DX,,,,,
645,AAEL,AA,EL,,,,,
646,AAEM,AA,EM,,,,,
647,AAEN,AA,EN,,,,,
648,AAF,AA,F,,,,,
649,AAG,AA,G,,,,,
650,AAHH,AA,HH,,,,,
651,AAJH,AA,JH,,,,,
652,AAK,AA,K,,,,,
653,AAL,AA,L,,,,,
654,AAM,AA,M,,,,,
655,AAN,AA,N,,,,,
656,AANG,AA,NG,,,,,
657,AANX,AA,NX,,,,,
658,AAP,AA,P,,,,,
659,AAQ,AA,Q,,,,,
660,AAR,AA,R,,,,,
661,AAS,AA,S,,,,,
662,AASH,AA,SH,,,,,
663,AAT,AA,T,,,,,
664,AATH,AA,TH,,,,,
665,AAV,AA,V,,,,,
666,AAW,AA,W,,,,,
667,AAWH,AA,WH,,,,,
668,AAY,AA,Y,,,,,
669,AAZ,AA,Z,,,,,
670,AAZH,AA,ZH,,,,,
671,AEB,AE,B,,,,,
672,AECH,AE,CH,,,,,
673,AED,AE,D,,,,,
674,AEDH,AE,DH,,,,,
675,AEDX,AE,DX,,,,,
676,AEEL,AE,EL,,,,,
677,AEEM,AE,EM,,,,,
678,AEEN,AE,EN,,,,,
679,AEF,AE,F,,,,,
680,AEG,AE,G,,,,,
681,AEHH,AE,HH,,,,,
682,AEJH,AE,JH,,,,,
683,AEK,AE,K,,,,,
684,AEL,AE,L,,,,,
685,AEM,AE,M,,,,,
686,AEN,AE,N,,,,,
687,AENG,AE,NG,,,,,
688,AENX,AE,NX,,,,,
689,AEP,AE,P,,,,,
690,AEQ,AE,Q,,,,,
691,AER,AE,R,,,,,
692,AES,AE,S,,,,,
693,AESH,AE,SH,,,,,
694,AET,AE,T,,,,,
695,AETH,AE,TH,,,,,
696,AEV,AE,V,,,,,
697,AEW,AE,W,,,,,
698,AEWH,AE,WH,,,,,
699,AEY,AE,Y,,,,,
700,AEZ,AE,Z,,,,,
701,AEZH,AE,ZH,,,,,
702,AHB,AH,B,,,,,
703,AHCH,AH,CH,,,,,
704,AHD,AH,D,,,,,
705,AHDH,AH,DH,,,,,
706,AHDX,AH,DX,,,,,
707,AHEL,AH,EL,,,,,
708,AHEM,AH,EM,,,,,
709,AHEN,AH,EN,,,,,
710,AHF,AH,F,,,,,
711,AHG,AH,G,,,,,
712,AHHH,AH,HH,,,,,
713,AHJH,AH,JH,,,,,
714,AHK,AH,K,,,,,
715,AHL,AH,L,,,,,
716,AHM,AH,M,,,,,
717,AHN,AH,N,,,,,
718,AHNG,AH,NG,,,,,
719,AHNX,AH,NX,,,,,
720,AHP,AH,P,,,,,
721,AHQ,AH,Q,,,,,
722,AHR,AH,R,,,,,
723,AHS,AH,S,,,,,
724,AHSH,AH,SH,,,,,
725,AHT,AH,T,,,,,
726,AHTH,AH,TH,,,,,
727,AHV,AH,V,,,,,
728,AHW,AH,W,,,,,
729,AHWH,AH,WH,,,,,
730,AHY,AH,Y,,,,,
731,AHZ,AH,Z,,,,,
732,AHZH,AH,ZH,,,,,
733,AOB,AO,B,,,,,
734,AOCH,AO,CH,,,,,
735,AOD,AO,D,,,,,
736,AODH,AO,DH,,,,,
737,AODX,AO,DX,,,,,
738,AOEL,AO,EL,,,,,
739,AOEM,AO,EM,,,,,
740,AOEN,AO,EN,,,,,
741,AOF,AO,F,,,,,
742,AOG,AO,G,,,,,
743,AOHH,AO,HH,,,,,
744,AOJH,AO,JH,,,,,
745,AOK,AO,K,,,,,
746,AOL,AO,L,,,,,
747,AOM,AO,M,,,,,
748,AON,AO,N,,,,,
749,AONG,AO,NG,,,,,
750,AONX,AO,NX,,,,,
751,AOP,AO,P,,,,,
752,AOQ,AO,Q,,,,,
753,AOR,AO,R,,,,,
754,AOS,AO,S,,,,,
755,AOSH,AO,SH,,,,,
756,AOT,AO,T,,,,,
757,AOTH,AO,TH,,,,,
758,AOV,AO,V,,,,,
759,AOW,AO,W,,,,,
760,AOWH,AO,WH,,,,,
761,AOY,AO,Y,,,,,
762,AOZ,AO,Z,,,,,
763,AOZH,AO,ZH,,,,,
764,AWB,AW,B,,,,,
765,AWCH,AW,CH,,,,,
766,AWD,AW,D,,,,,
767,AWDH,AW,DH,,,,,
768,AWDX,AW,DX,,,,,
769,AWEL,AW,EL,,,,,
770,AWEM,AW,EM,,,,,
771,AWEN,AW,EN,,,,,
772,AWF,AW,F,,,,,
773,AWG,AW,G,,,,,
774,AWHH,AW,HH,,,,,
775,AWJH,AW,JH,,,,,
776,AWK,AW,K,,,,,
777,AWL,AW,L,,,,,
778,AWM,AW,M,,,,,
779,AWN,AW,N,,,,,
780,AWNG,AW,NG,,,,,
781,AWNX,AW,NX,,,,,
782,AWP,AW,P,,,,,
783,AWQ,AW,Q,,,,,
784,AWR,AW,R,,,,,
785,AWS,AW,S,,,,,
786,AWSH,AW,SH,,,,,
787,AWT,AW,T,,,,,
788,AWTH,AW,TH,,,,,
789,AWV,AW,V,,,,,
790,AWW,AW,W,,,,,
791,AWWH,AW,WH,,,,,
792,AWY,AW,Y,,,,,
793,AWZ,AW,Z,,,,,
794,AWZH,AW,ZH,,,,,
795,AXB,AX,B,,,,,
796,AXCH,AX,CH,,,,,
797,AXD,AX,D,,,,,
798,AXDH,AX,DH,,,,,
799,AXDX,AX,DX,,,,,
800,AXEL,AX,EL,,,,,
801,AXEM,AX,EM,,,,,
802,AXEN,AX,EN,,,,,
803,AXF,AX,F,,,,,
804,AXG,AX,G,,,,,
805,AXHH,AX,HH,,,,,
806,AXJH,AX,JH,,,,,
807,AXK,AX,K,,,,,
808,AXL,AX,L,,,,,
809,AXM,AX,M,,,,,
810,AXN,AX,N,,,,,
811,AXNG,AX,NG,,,,,
812,AXNX,AX,NX,,,,,
813,AXP,AX,P,,,,,
814,AXQ,AX,Q,,,,,
815,AXR,AX,R,,,,,
816,AXS,AX,S,,,,,
817,AXSH,AX,SH,,,,,
818,AXT,AX,T,,,,,
819,AXTH,AX,TH,,,,,
820,AXV,AX,V,,,,,
821,AXW,AX,W,,,,,
822,AXWH,AX,WH,,,,,
823,AXY,AX,Y,,,,,
824,AXZ,AX,Z,,,,,
